		LENGHT	DIAMETER	ROUGHNESS	FLOW	VELOCITY	UNITHEADLOSS	FRICTIONFACTOR
		m	mm		LPS	m/s	m/km	
P981	69:00:00	36.19	76.00	80.22	4.53	1.00	40.89	0.06
P982	69:00:00	87.24	203.00	98.51	2.12	0.07	0.06	0.05
P983	69:00:00	180.20	101.60	91.90	4.57	0.56	7.86	0.05
P984	69:00:00	16.03	101.60	108.96	1.49	0.18	0.72	0.04
P986	69:00:00	229.54	101.60	87.08	0.70	0.09	0.27	0.07
P987	69:00:00	94.56	101.60	96.41	0.94	0.12	0.38	0.06
P988	69:00:00	9.74	101.60	102.52	3.29	0.41	3.49	0.04
P989	69:00:00	91.59	51.00	82.07	0.20	0.10	0.86	0.09
P99	69:00:00	452.37	508.00	96.64	168.23	0.83	2.24	0.03
P990	69:00:00	78.87	102.00	85.79	1.29	0.16	0.84	0.07
P991	69:00:00	20.25	203.00	74.31	15.00	0.46	3.62	0.07
P992	69:00:00	69.15	203.00	80.64	13.71	0.42	2.63	0.06
P993	69:00:00	63.52	203.00	80.23	11.54	0.36	1.93	0.06
P994	69:00:00	115.39	203.00	83.09	9.72	0.30	1.32	0.06
P995	69:00:00	228.99	152.00	82.50	12.73	0.70	9.00	0.05
P996	69:00:00	10.22	203.00	84.58	33.11	1.02	12.33	0.05
P997	69:00:00	154.87	203.00	96.62	20.74	0.64	4.05	0.04
P998	69:00:00	107.98	203.00	90.64	21.68	0.67	4.95	0.04
P999	69:00:00	81.67	254.00	68.70	22.68	0.45	3.02	0.08
PU1	69:00:00	0.00	0.00	1.00	98.18	0.00	-30.99	0.00
PU2	69:00:00	0.00	0.00	1.00	98.20	0.00	-30.97	0.00
PU3	69:00:00	0.00	0.00	1.00	0.00	0.00	0.00	0.00
PU4	69:00:00	0.00	0.00	1.00	0.00	0.00	0.00	0.00
PU5	69:00:00	0.00	0.00	1.00	0.00	0.00	0.00	0.00
PU6	69:00:00	0.00	0.00	1.00	0.00	0.00	0.00	0.00
PU7	69:00:00	0.00	0.00	1.00	50.56	0.00	-81.29	0.00
PU8	69:00:00	0.00	0.00	1.00	0.00	0.00	0.00	0.00
PU9	69:00:00	0.00	0.00	1.00	0.00	0.00	0.00	0.00
PU10	69:00:00	0.00	0.00	1.00	32.07	0.00	-43.04	0.00
PU11	69:00:00	0.00	0.00	1.00	0.00	0.00	0.00	0.00
v1	69:00:00	0.00	203.20	131.23	5.44	0.17	53.37	0.00
V45	69:00:00	0.00	152.40	131.23	3.10	0.17	38.30	0.00
V47	69:00:00	0.00	101.60	131.23	2.91	0.36	50.04	0.00
V2	69:00:00	0.00	254.00	-1.00e+10	67.02	1.32	7.21e-08	0.00
P1	70:00:00	52.90	203.00	72.45	1.33	0.04	0.04	0.10
P10	70:00:00	79.23	76.00	108.01	2.26	0.50	6.49	0.04
P100	70:00:00	107.88	406.00	76.51	196.12	1.51	13.68	0.05
P1000	70:00:00	109.27	203.00	76.95	41.79	1.29	22.61	0.05
P101	70:00:00	243.37	254.00	84.21	0.64	0.01	2.83e-03	0.09
P1016	70:00:00	164.77	305.00	85.24	33.56	0.46	1.72	0.05
P102	70:00:00	1.28e+03	508.00	92.95	170.01	0.84	2.46	0.03
P1022	70:00:00	200.76	102.00	99.58	0.22	0.03	0.02	0.07
P1023	70:00:00	136.34	102.00	95.69	1.54	0.19	0.95	0.05
P1024	70:00:00	375.62	102.00	89.62	4.09	0.50	6.59	0.05
P1025	70:00:00	39.18	76.00	97.78	4.33	0.95	26.06	0.04
P1026	70:00:00	45.61	76.00	88.45	2.89	0.64	14.86	0.05
P1027	70:00:00	82.32	51.00	92.01	0.85	0.41	9.94	0.06
P1028	70:00:00	9.57	51.00	86.99	3.45e-03	1.69e-03	1.58e-03	0.55
P1029	70:00:00	122.62	76.00	91.34	1.06	0.23	2.18	0.06
P103	70:00:00	35.98	254.00	79.37	6.85	0.14	0.25	0.07
P1030	70:00:00	95.25	76.00	104.61	2.22	0.49	6.65	0.04
P1031	70:00:00	188.28	152.00	84.37	15.15	0.83	11.91	0.05
P1032	70:00:00	143.29	152.00	98.43	13.94	0.77	7.67	0.04
P1033	70:00:00	128.79	152.00	84.69	13.76	0.76	9.90	0.05
P1034	70:00:00	52.87	203.00	97.42	0.70	0.02	7.42e-03	0.06
P1035	70:00:00	122.47	152.00	97.76	4.67	0.26	1.02	0.05
P1036	70:00:00	83.33	203.00	74.30	12.80	0.40	2.70	0.07
P1039	70:00:00	121.38	203.00	92.14	7.56	0.23	0.68	0.05
P104	70:00:00	33.11	203.00	99.89	0.44	0.01	3.06e-03	0.07
P1040	70:00:00	29.45	152.00	94.69	3.82	0.21	0.75	0.05
P1041	70:00:00	307.54	102.00	112.51	3.35	0.41	2.98	0.04
P1042	70:00:00	84.54	152.00	76.15	2.87	0.16	0.66	0.08
P1044	70:00:00	65.80	203.00	100.22	8.05	0.25	0.66	0.04
P1045	70:00:00	68.63	203.00	118.82	8.46	0.26	0.52	0.03
P106	70:00:00	270.38	102.00	63.55	1.99	0.24	3.27	0.11
P107	70:00:00	357.00	203.00	80.51	5.04	0.16	0.41	0.07
P108	70:00:00	183.53	203.00	78.72	1.41	0.04	0.04	0.09
P109	70:00:00	218.52	203.00	76.89	5.94	0.18	0.61	0.07
P11	70:00:00	83.45	101.60	96.83	1.19	0.15	0.59	0.05
P110	70:00:00	425.83	508.00	98.99	170.13	0.84	2.19	0.03
P111	70:00:00	126.36	152.00	72.41	0.54	0.03	0.03	0.11
P112	70:00:00	646.98	305.00	68.60	1.83	0.02	0.01	0.11
P113	70:00:00	310.73	152.00	85.35	6.28	0.35	2.28	0.06
P115	70:00:00	99.88	102.00	91.23	9.86	1.21	32.49	0.04
P116	70:00:00	204.54	152.00	93.47	3.09	0.17	0.52	0.05
P117	70:00:00	104.00	102.00	67.96	4.55	0.56	13.39	0.09
P118	70:00:00	115.91	102.00	84.67	1.92	0.24	1.80	0.07
P119	70:00:00	64.88	305.00	78.14	0.30	4.08e-03	3.21e-04	0.11
P12	70:00:00	85.24	406.00	89.66	15.70	0.12	0.09	0.05
P120	70:00:00	91.40	102.00	88.39	4.11	0.50	6.81	0.05
P121	70:00:00	42.23	152.00	100.37	0.53	0.03	0.02	0.06
P122	70:00:00	45.06	305.00	78.98	15.89	0.22	0.49	0.06
P123	70:00:00	51.21	152.00	61.06	2.72	0.15	0.90	0.12
P124	70:00:00	99.09	102.00	78.83	0.92	0.11	0.53	0.08
P125	70:00:00	193.35	508.00	84.74	5.69	0.03	5.40e-03	0.07
P126	70:00:00	109.60	76.00	89.74	0.98	0.22	1.97	0.06
P127	70:00:00	87.22	102.00	73.68	1.48	0.18	1.45	0.09
P128	70:00:00	165.63	102.00	90.95	0.97	0.12	0.44	0.06
P129	70:00:00	79.59	102.00	78.07	0.72	0.09	0.34	0.09
P13	70:00:00	62.56	406.00	83.04	21.33	0.16	0.19	0.06
P130	70:00:00	56.79	76.00	70.71	1.53	0.34	6.91	0.09
P131	70:00:00	86.50	76.00	74.73	0.37	0.08	0.45	0.10
P132	70:00:00	67.35	76.00	88.54	1.13	0.25	2.62	0.06
P134	70:00:00	68.79	76.00	78.57	1.68	0.37	6.78	0.07
P136	70:00:00	241.77	102.00	75.73	1.78	0.22	1.93	0.08
P138	70:00:00	19.28	254.00	72.49	43.21	0.85	9.02	0.06
P139	70:00:00	73.66	406.00	68.72	15.22	0.12	0.15	0.08
P14	70:00:00	151.39	406.00	72.01	22.41	0.17	0.28	0.07
P140	70:00:00	222.30	102.00	107.83	1.08	0.13	0.40	0.05
P141	70:00:00	169.94	102.00	103.79	1.99	0.24	1.32	0.04
P142	70:00:00	16.61	152.40	85.39	3.57	0.20	0.79	0.06
P144	70:00:00	130.79	76.00	99.92	0.00	0.00	0.00	0.00
P147	70:00:00	60.08	203.00	92.84	0.87	0.03	0.01	0.07
P148	70:00:00	561.69	305.00	96.44	33.56	0.46	1.36	0.04
P15	70:00:00	395.29	406.00	90.48	23.31	0.18	0.19	0.05
P150	70:00:00	93.19	152.00	103.15	0.56	0.03	0.02	0.06
P154	70:00:00	170.64	152.00	108.83	16.35	0.90	8.57	0.03
P155	70:00:00	59.38	101.60	105.71	6.21	0.77	10.69	0.04
P156	70:00:00	80.34	102.00	110.87	0.42	0.05	0.07	0.05
P157	70:00:00	232.93	102.00	102.90	2.61	0.32	2.22	0.04
P158	70:00:00	69.88	76.00	105.07	1.00	0.22	1.50	0.05
P159	70:00:00	118.78	203.00	80.15	2.50	0.08	0.11	0.08
P16	70:00:00	252.34	102.00	97.25	4.64	0.57	7.15	0.04
P160	70:00:00	68.68	76.00	104.63	2.02	0.44	5.59	0.04
P161	70:00:00	40.31	76.00	90.01	3.55	0.78	21.04	0.05
P162	70:00:00	190.67	152.00	98.76	24.75	1.36	22.09	0.04
P163	70:00:00	67.74	203.00	94.23	1.62	0.05	0.04	0.06
P165	70:00:00	143.81	305.00	92.93	33.54	0.46	1.46	0.04
P166	70:00:00	235.00	101.60	93.60	3.45	0.43	4.51	0.05
P17	70:00:00	32.42	508.00	77.28	159.43	0.79	3.07	0.05
P174	70:00:00	278.59	102.00	89.32	1.35	0.16	0.85	0.06
P177	70:00:00	56.80	102.00	100.61	1.13	0.14	0.49	0.05
P18	70:00:00	283.30	508.00	100.30	155.74	0.77	1.81	0.03
P184	70:00:00	59.38	101.60	95.91	7.92	0.98	20.12	0.04
P19	70:00:00	750.87	508.00	97.70	77.72	0.38	0.53	0.04
P195	70:00:00	144.33	76.00	80.63	1.43	0.32	4.81	0.07
P2	70:00:00	295.25	203.00	62.05	7.73	0.24	1.48	0.10
P20	70:00:00	579.67	508.00	89.67	61.97	0.31	0.41	0.04
P201	70:00:00	102.19	76.00	96.63	1.20	0.26	2.47	0.05
P21	70:00:00	176.48	406.00	86.69	38.15	0.29	0.52	0.05
P211	70:00:00	202.33	76.00	84.05	0.89	0.20	1.86	0.07
P215	70:00:00	140.76	254.00	81.42	18.64	0.37	1.53	0.06
P218	70:00:00	54.55	102.00	81.77	1.02	0.12	0.59	0.08
P219	70:00:00	67.98	102.00	86.84	0.52	0.06	0.15	0.08
P22	70:00:00	567.30	406.00	81.11	195.76	1.51	12.23	0.04
P220	70:00:00	68.33	76.00	93.74	1.06	0.23	2.07	0.06
P223	70:00:00	108.98	203.00	93.22	1.09	0.03	0.02	0.06
P225	70:00:00	120.77	102.00	92.69	0.13	0.02	0.01	0.08
P228	70:00:00	42.72	76.00	99.29	1.61	0.35	4.05	0.05
P23	70:00:00	316.91	508.00	77.16	194.22	0.96	4.44	0.05
P230	70:00:00	114.61	76.00	77.40	1.59	0.35	6.27	0.08
P231	70:00:00	12.21	76.00	98.42	1.11	0.25	2.08	0.05
P233	70:00:00	58.66	76.00	97.30	0.84	0.18	1.26	0.05
P234	70:00:00	41.63	76.00	87.21	1.68	0.37	5.61	0.06
P235	70:00:00	92.74	76.00	84.32	4.88	1.08	42.87	0.06
P237	70:00:00	12.01	305.00	5.06	50.41	0.69	681.01	8.57
P238	70:00:00	12.59	304.80	104.74	50.41	0.69	2.50	0.03
P24	70:00:00	71.05	508.00	88.62	170.80	0.84	2.71	0.04
P241	70:00:00	49.46	102.00	114.84	0.74	0.09	0.17	0.04
P242	70:00:00	25.06	152.40	99.01	2.65	0.15	0.35	0.05
P243	70:00:00	57.08	203.20	82.80	5.83	0.18	0.51	0.06
P245	70:00:00	18.65	152.40	120.40	34.48	1.89	27.93	0.02
P246	70:00:00	56.94	152.40	121.60	21.34	1.17	11.28	0.02
P248	70:00:00	6.96	152.40	110.07	19.59	1.07	11.57	0.03
P249	70:00:00	28.43	51.00	85.38	0.84	0.41	11.30	0.07
P25	70:00:00	4.30	508.00	74.38	187.68	0.93	4.46	0.05
P251	70:00:00	11.49	152.00	103.73	17.08	0.94	10.15	0.03
P252	70:00:00	135.44	305.00	82.30	50.41	0.69	3.89	0.05
P255	70:00:00	76.14	51.00	71.47	0.19	0.09	1.02	0.11
P256	70:00:00	55.17	305.00	94.86	50.41	0.69	2.99	0.04
P258	70:00:00	79.53	102.00	75.51	0.04	4.73e-03	1.61e-03	0.14
P259	70:00:00	136.09	102.00	83.09	0.22	0.03	0.03	0.09
P26	70:00:00	22.94	508.00	88.01	5.42	0.03	4.60e-03	0.06
P264	70:00:00	11.73	101.60	112.51	0.69	0.08	0.16	0.04
P266	70:00:00	55.29	101.60	107.06	1.63	0.20	0.88	0.04
P267	70:00:00	344.62	152.40	95.59	0.39	0.02	0.01	0.07
P268	70:00:00	146.46	152.40	86.84	2.71	0.15	0.46	0.06
P27	70:00:00	163.63	254.00	69.11	2.39	0.05	0.05	0.10
P270	70:00:00	88.36	101.60	92.77	1.15	0.14	0.60	0.06
P272	70:00:00	143.88	102.00	73.95	1.92	0.24	2.32	0.08
P275	70:00:00	172.96	152.40	98.16	0.99	0.05	0.06	0.06
P28	70:00:00	117.42	152.00	88.27	1.16	0.06	0.09	0.07
P280	70:00:00	333.40	203.00	88.34	3.50e-06	1.08e-07	1.53e-11	0.00
P282	70:00:00	131.93	102.00	86.72	3.90	0.48	6.41	0.06
P284	70:00:00	198.97	76.20	89.13	1.16	0.25	2.66	0.06
P285	70:00:00	130.71	76.20	90.18	0.11	0.02	0.03	0.09
P286	70:00:00	155.58	101.60	90.01	0.48	0.06	0.13	0.07
P287	70:00:00	45.12	254.00	78.35	18.64	0.37	1.65	0.06
P288	70:00:00	226.74	76.20	85.05	2.06	0.45	8.46	0.06
P29	70:00:00	20.51	152.00	89.48	1.01	0.06	0.07	0.07
P290	70:00:00	46.28	76.20	89.44	0.44	0.10	0.44	0.07
P291	70:00:00	132.94	305.00	107.08	50.41	0.69	2.39	0.03
P292	70:00:00	13.54	305.00	97.27	50.41	0.69	2.85	0.04
P293	70:00:00	125.20	305.00	92.16	50.41	0.69	3.15	0.04
P294	70:00:00	101.20	102.00	79.97	1.98	0.24	2.12	0.07
P295	70:00:00	133.23	76.00	72.41	5.20	1.15	63.91	0.07
P296	70:00:00	231.87	76.00	82.96	2.47	0.54	12.48	0.06
P297	70:00:00	42.53	406.00	73.00	77.30	0.60	2.66	0.06
P298	70:00:00	40.11	305.00	84.55	55.98	0.77	4.49	0.05
P299	70:00:00	61.51	102.00	87.71	3.29	0.40	4.57	0.06
P3	70:00:00	136.52	300.00	73.65	14.92	0.21	0.54	0.07
P30	70:00:00	40.89	254.00	86.71	2.33	0.05	0.03	0.07
P301	70:00:00	45.31	305.00	85.19	55.20	0.76	4.32	0.05
P302	70:00:00	178.28	305.00	80.34	54.91	0.75	4.76	0.05
P303	70:00:00	131.94	76.00	88.33	1.05	0.23	2.28	0.06
P304	70:00:00	268.74	101.60	89.39	0.62	0.08	0.20	0.07
P305	70:00:00	43.41	203.00	90.80	3.69e-06	1.14e-07	1.52e-11	0.00
P307	70:00:00	47.30	305.00	60.51	52.20	0.71	7.33	0.09
P308	70:00:00	334.57	305.00	88.08	50.41	0.69	3.43	0.04
P309	70:00:00	128.80	101.60	94.96	1.00	0.12	0.44	0.06
P31	70:00:00	144.67	152.00	108.77	4.62	0.25	0.82	0.04
P310	70:00:00	9.00	610.00	87.27	197.37	0.68	1.49	0.04
P316	70:00:00	11.62	610.00	70.45	197.37	0.68	2.22	0.06
P319	70:00:00	10.54	610.00	76.59	2.99e-05	1.02e-07	1.64e-12	1.88
P32	70:00:00	84.44	152.00	103.56	7.32	0.40	2.12	0.04
P320	70:00:00	11.47	610.00	76.52	98.68	0.34	0.53	0.06
P322	70:00:00	11.50	610.00	89.43	98.68	0.34	0.40	0.04
P323	70:00:00	11.47	610.00	84.69	1.69e-05	5.80e-08	0.00	0.00
P329	70:00:00	134.52	152.00	100.18	3.10	0.17	0.46	0.05
P33	70:00:00	22.81	254.00	73.04	4.56	0.09	0.14	0.09
P330	70:00:00	66.79	76.00	96.42	1.46	0.32	3.56	0.05
P331	70:00:00	93.46	51.00	93.19	0.60	0.29	5.09	0.06
P336	70:00:00	182.99	152.00	92.17	2.32	0.13	0.31	0.06
P337	70:00:00	20.49	305.00	5.62	5.09	0.07	7.90	9.75
P338	70:00:00	74.38	76.00	100.36	0.23	0.05	0.11	0.06
P339	70:00:00	307.49	102.00	88.65	1.35	0.17	0.86	0.06
P34	70:00:00	98.00	508.00	78.51	174.14	0.86	3.51	0.05
P340	70:00:00	96.21	305.00	101.08	20.51	0.28	0.50	0.04
P341	70:00:00	189.74	305.00	94.64	19.24	0.26	0.50	0.04
P343	70:00:00	111.65	152.00	100.29	3.29	0.18	0.51	0.05
P344	70:00:00	45.26	152.00	85.91	8.15	0.45	3.65	0.05
P346	70:00:00	54.91	51.00	93.91	0.09	0.04	0.14	0.08
P347	70:00:00	385.56	305.00	96.24	6.42	0.09	0.06	0.05
P348	70:00:00	42.47	305.00	88.73	5.04	0.07	0.05	0.06
P349	70:00:00	39.12	305.00	97.01	1.85	0.03	5.51e-03	0.05
P35	70:00:00	64.56	152.00	84.38	0.09	4.69e-03	5.41e-04	0.07
P350	70:00:00	400.16	203.00	99.86	0.84	0.03	0.01	0.06
P37	70:00:00	180.61	203.00	97.80	0.22	6.91e-03	9.00e-04	0.08
P372	70:00:00	6.42	101.60	113.11	8.09	1.00	15.41	0.03
P374	70:00:00	15.83	254.00	91.92	36.86	0.73	4.33	0.04
P375	70:00:00	7.79	254.00	75.49	36.86	0.73	6.23	0.06
P376	70:00:00	6.64	254.00	102.69	36.86	0.73	3.52	0.03
P378	70:00:00	6.47	254.00	112.45	36.86	0.73	2.98	0.03
P379	70:00:00	6.43	254.00	101.78	50.41	0.99	6.40	0.03
P38	70:00:00	169.49	76.00	106.47	0.85	0.19	1.09	0.05
P380	70:00:00	4.79	254.00	87.81	50.41	0.99	8.41	0.04
P381	70:00:00	5.53	304.80	119.21	50.41	0.69	1.96	0.02
P383	70:00:00	19.56	152.00	80.15	6.29	0.35	2.57	0.06
P384	70:00:00	26.14	76.00	101.91	4.54	1.00	26.36	0.04
P385	70:00:00	106.53	305.00	76.02	20.35	0.28	0.84	0.06
P386	70:00:00	8.12	152.00	79.90	12.11	0.67	8.71	0.06
P39	70:00:00	190.12	102.00	95.44	0.38	0.05	0.07	0.07
P397	70:00:00	13.16	203.20	87.43	65.55	2.02	40.88	0.04
P398	70:00:00	6.75	203.20	91.05	30.05	0.93	8.94	0.04
P399	70:00:00	9.71	203.20	81.41	30.05	0.93	11.00	0.05
P40	70:00:00	143.64	102.00	107.91	5.58	0.68	8.29	0.04
P402	70:00:00	6.12	203.20	89.15	4.63e-05	1.43e-06	1.60e-10	0.31
P403	70:00:00	6.86	152.40	111.47	35.50	1.95	33.99	0.03
P409	70:00:00	26.38	152.40	89.90	35.50	1.95	50.63	0.04
P410	70:00:00	7.70	203.20	85.67	4.61e-05	1.42e-06	1.71e-10	0.34
P42	70:00:00	32.93	152.00	114.92	6.15	0.34	1.27	0.03
P424	70:00:00	27.80	203.20	124.99	30.05	0.93	4.97	0.02
P43	70:00:00	36.18	203.00	88.54	0.33	0.01	2.23e-03	0.09
P44	70:00:00	247.65	152.00	115.17	15.03	0.83	6.60	0.03
P443	70:00:00	67.31	305.00	85.58	51.69	0.71	3.79	0.05
P445	70:00:00	7.80	254.00	86.21	69.46	1.37	15.75	0.04
P446	70:00:00	31.15	254.00	102.20	0.00	0.00	0.00	0.00
P450	70:00:00	19.47	254.00	96.97	8.61e-06	1.70e-07	4.45e-13	0.00
P46	70:00:00	70.86	102.00	112.66	0.14	0.02	8.63e-03	0.06
P465	70:00:00	18.20	254.00	86.57	68.62	1.35	15.29	0.04
P467	70:00:00	15.17	254.00	96.15	68.62	1.35	12.58	0.03
P468	70:00:00	31.29	254.00	105.27	87.26	1.72	16.60	0.03
P48	70:00:00	28.98	152.00	113.52	5.42	0.30	1.03	0.03
P482	70:00:00	321.89	152.00	78.90	2.58	0.14	0.51	0.08
P484	70:00:00	336.57	203.00	79.98	20.10	0.62	5.43	0.06
P49	70:00:00	134.92	152.00	121.71	0.89	0.05	0.03	0.04
P492	70:00:00	157.32	101.60	114.11	0.27	0.03	0.03	0.05
P5	70:00:00	588.97	406.00	83.56	7.30	0.06	0.03	0.07
P500	70:00:00	24.23	203.00	112.62	0.57	0.02	3.90e-03	0.05
P501	70:00:00	11.32	152.40	111.45	1.70	0.09	0.12	0.04
P502	70:00:00	9.19	76.20	99.59	1.65	0.36	4.17	0.05
P51	70:00:00	57.47	102.00	92.24	3.24	0.40	4.05	0.05
P510	70:00:00	193.37	102.00	104.95	5.02e-07	6.15e-08	1.79e-13	0.00
P52	70:00:00	83.26	102.00	89.65	1.70	0.21	1.30	0.06
P524	70:00:00	170.54	305.00	96.23	0.86	0.01	5.24e-04	0.02
P527	70:00:00	149.04	305.00	73.12	4.22	0.06	0.05	0.09
P529	70:00:00	212.31	102.00	103.92	1.34	0.16	0.63	0.05
P53	70:00:00	10.32	203.00	87.56	30.05	0.93	9.66	0.04
P54	70:00:00	111.67	51.00	92.40	1.23	0.60	19.73	0.05
P55	70:00:00	99.86	76.00	87.65	1.30	0.29	3.44	0.06
P57	70:00:00	288.77	152.00	99.60	25.35	1.40	22.74	0.03
P58	70:00:00	503.91	102.00	100.85	9.00	1.10	22.78	0.04
P596	70:00:00	76.39	76.00	112.81	1.44	0.32	2.61	0.04
P597	70:00:00	79.68	102.00	101.12	0.73	0.09	0.22	0.05
P6	70:00:00	199.39	152.00	94.65	0.68	0.04	0.03	0.07
P609	70:00:00	86.07	76.00	111.63	2.51	0.55	7.42	0.04
P610	70:00:00	206.58	76.00	95.80	7.74e-07	1.71e-07	1.59e-12	0.00
P63	70:00:00	165.95	254.00	88.73	4.65	0.09	0.10	0.06
P633	70:00:00	173.88	152.00	119.13	7.48	0.41	1.70	0.03
P64	70:00:00	126.63	203.00	80.25	3.80	0.12	0.25	0.07
P65	70:00:00	164.93	102.00	101.95	2.91	0.36	2.75	0.04
P67	70:00:00	330.24	203.00	74.11	3.25	0.10	0.21	0.08
P670	70:00:00	54.41	152.00	98.70	4.92e-06	2.71e-07	6.05e-12	0.00
P671	70:00:00	62.97	152.00	94.84	1.19e-06	6.57e-08	5.50e-13	0.00
P68	70:00:00	302.74	305.00	83.22	1.63	0.02	6.63e-03	0.08
P69	70:00:00	103.63	152.00	72.35	6.66	0.37	3.45	0.08
P697	70:00:00	88.89	102.00	97.76	2.63e-07	3.21e-08	1.95e-13	0.00
P7	70:00:00	60.22	508.00	78.45	13.95	0.07	0.03	0.07
P70	70:00:00	88.36	152.00	72.84	3.00	0.17	0.78	0.09
P71	70:00:00	419.40	254.00	84.73	0.63	0.01	2.65e-03	0.09
P72	70:00:00	247.46	305.00	85.04	4.75	0.07	0.05	0.07
P724	70:00:00	92.72	152.00	96.71	0.49	0.03	0.02	0.07
P725	70:00:00	117.32	152.00	105.29	1.11	0.06	0.06	0.05
P752	70:00:00	70.36	152.00	106.17	0.19	0.01	2.44e-03	0.06
P753	70:00:00	71.91	152.00	89.52	0.24	0.01	4.85e-03	0.08
P754	70:00:00	92.49	51.00	84.83	2.77e-07	1.35e-07	1.87e-13	0.00
P755	70:00:00	47.12	305.00	114.13	0.99	0.01	1.47e-03	0.05
P756	70:00:00	41.66	305.00	107.92	1.11	0.02	2.02e-03	0.05
P757	70:00:00	568.43	305.00	99.83	2.11	0.03	7.60e-03	0.05
P758	70:00:00	102.21	305.00	93.36	3.29	0.05	0.02	0.06
P759	70:00:00	97.19	152.00	104.44	2.10	0.12	0.21	0.05
P760	70:00:00	88.54	152.00	101.85	2.38	0.13	0.27	0.05
P761	70:00:00	171.27	152.00	96.99	2.95	0.16	0.44	0.05
P763	70:00:00	387.59	305.00	112.21	2.27	0.03	7.05e-03	0.04
P766	70:00:00	37.85	152.00	95.04	2.06	0.11	0.24	0.05
P767	70:00:00	227.50	305.00	109.31	4.65	0.06	0.03	0.04
P768	70:00:00	217.03	254.00	116.51	1.08	0.02	4.06e-03	0.04
P769	70:00:00	154.26	305.00	110.62	5.39	0.07	0.04	0.04
P771	70:00:00	69.36	203.00	99.63	0.55	0.02	4.54e-03	0.06
P772	70:00:00	215.02	305.00	85.80	6.88	0.09	0.09	0.06
P775	70:00:00	129.42	203.00	108.38	0.45	0.01	2.73e-03	0.06
P776	70:00:00	421.07	102.00	114.35	0.22	0.03	0.02	0.05
P777	70:00:00	402.31	305.00	111.77	7.36	0.10	0.06	0.04
P779	70:00:00	524.49	203.00	87.91	8.05	0.25	0.84	0.05
P780	70:00:00	153.56	203.00	104.95	1.62e-05	4.99e-07	1.13e-13	0.00
P781	70:00:00	130.18	152.00	90.91	5.55	0.31	1.61	0.05
P783	70:00:00	674.96	203.00	115.08	9.85	0.30	0.74	0.03
P784	70:00:00	88.96	102.00	98.43	0.38	0.05	0.07	0.06
P785	70:00:00	184.71	102.00	89.65	0.87	0.11	0.38	0.07
P786	70:00:00	166.27	203.00	110.00	9.99	0.31	0.82	0.03
P787	70:00:00	127.08	102.00	130.12	17.70	2.17	49.75	0.02
P788	70:00:00	107.85	152.00	113.91	28.85	1.59	22.52	0.03
P789	70:00:00	285.95	203.00	74.97	14.85	0.46	3.49	0.07
P791	70:00:00	82.50	152.00	115.95	30.57	1.68	24.27	0.03
P794	70:00:00	39.04	203.00	123.95	6.03	0.19	0.26	0.03
P795	70:00:00	129.41	203.00	97.78	4.81	0.15	0.27	0.05
P796	70:00:00	22.42	203.00	89.88	36.86	1.14	13.44	0.04
P797	70:00:00	21.64	102.00	117.05	1.05	0.13	0.32	0.04
P798	70:00:00	684.07	203.00	116.09	4.31	0.13	0.16	0.04
P8	70:00:00	11.35	406.00	76.08	6.57	0.05	0.03	0.08
P800	70:00:00	15.93	203.00	109.67	1.59	0.05	0.03	0.05
P801	70:00:00	9.47	203.00	104.47	0.21	6.56e-03	7.24e-04	0.07
P804	70:00:00	68.27	102.00	103.01	2.82	0.35	2.56	0.04
P805	70:00:00	96.57	152.00	114.56	3.43	0.19	0.43	0.04
P806	70:00:00	32.51	152.00	103.90	3.75	0.21	0.61	0.04
P807	70:00:00	162.82	203.00	100.15	0.26	8.05e-03	1.14e-03	0.07
P808	70:00:00	253.47	203.00	92.06	10.96	0.34	1.36	0.05
P809	70:00:00	17.35	102.00	109.35	1.25	0.15	0.51	0.04
P810	70:00:00	64.30	203.00	88.94	1.61e-05	4.97e-07	2.69e-13	0.00
P811	70:00:00	50.17	102.00	89.57	2.05	0.25	1.83	0.06
P813	70:00:00	30.85	152.00	76.04	15.22	0.84	14.57	0.06
P815	70:00:00	50.52	102.00	84.34	16.95	2.07	102.49	0.05
P817	70:00:00	253.30	203.00	72.66	8.06	0.25	1.19	0.08
P819	70:00:00	8.02	203.00	105.07	8.17	0.25	0.62	0.04
P821	70:00:00	64.78	102.00	83.95	0.19	0.02	0.02	0.09
P822	70:00:00	11.71	102.00	99.59	1.29	0.16	0.64	0.05
P823	70:00:00	18.84	76.00	113.36	0.26	0.06	0.11	0.05
P826	70:00:00	335.29	76.00	99.15	0.98	0.22	1.63	0.05
P827	70:00:00	119.07	76.00	103.74	0.57	0.13	0.55	0.05
P83	70:00:00	15.14	610.00	75.66	196.58	0.67	1.93	0.05
P830	70:00:00	89.30	76.00	99.04	0.24	0.05	0.12	0.06
P831	70:00:00	62.20	76.00	86.29	3.38	0.75	20.81	0.06
P84	70:00:00	148.63	203.00	97.41	0.50	0.02	3.96e-03	0.07
P840	70:00:00	235.28	203.00	97.77	12.86	0.40	1.64	0.04
P841	70:00:00	347.83	76.00	93.68	0.75	0.17	1.10	0.06
P842	70:00:00	64.41	52.00	95.52	1.27	0.60	17.85	0.05
P844	70:00:00	12.49	102.00	113.81	2.76	0.34	2.04	0.04
P846	70:00:00	94.84	203.00	103.98	1.39	0.04	0.02	0.05
